,RandomForest_Optimized,ExtraTrees_Optimized,XGBoost_Optimized,LightGBM_Optimized,VotingEnsemble
feature_0,0.05529864506569064,0.05181375723181073,0.08076922,5338,0.06262720693397675
feature_1,0.07481909164836226,0.06940203885998238,0.10307516,5499,0.08243209736153856
feature_2,0.04066004219047423,0.04845331096715166,0.07281874,5026,0.053977364786660105
feature_3,0.038467371029988685,0.04921852221137573,0.07611349,2910,0.05459979516393564
feature_4,0.06330164984812069,0.05878173680974366,0.0811079,5576,0.06773042873482919
feature_5,0.09372728037693923,0.09117219869467243,0.08371879,8982,0.08953942355855123
feature_6,0.09466633466042672,0.08840616722623235,0.08618108,9592,0.08975119457270476
feature_7,0.05497430883046894,0.05700368685468015,0.0,419,0.03732599856171637
feature_8,0.07384963805027854,0.07128529619299002,0.0,40,0.04837831141442286
feature_9,0.04095569806451701,0.047428253670446834,0.0,108,0.029461317244987947
feature_10,0.03823891105899622,0.04597154282358851,0.0,65,0.028070151294194906
feature_11,0.06228184230810948,0.06825788346783897,0.0,127,0.043513241925316144
feature_12,0.052174282935521184,0.05153504278194906,0.07300271,5374,0.058904012218641305
feature_13,0.06188787831597312,0.054711176855599605,0.077543035,5172,0.064714030107049
feature_14,0.03771198243471347,0.04699276291410787,0.080960445,2040,0.055221730151616945
feature_15,0.04907216809592594,0.04573841891459083,0.09156019,3763,0.06212359313889809
feature_16,0.0679128750854936,0.05382820352323927,0.09314927,5083,0.0716301152485945
